hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,1,304,2017,August,31,4,0,2,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,185.4,0,2
City Hotel,1,86,2016,December,50,8,0,3,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,122.0,0,0
City Hotel,0,6,2016,January,2,7,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,89.0,0,0
City Hotel,1,179,2016,July,27,1,0,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.3,0,1
City Hotel,0,4,2017,April,14,4,0,1,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,108.0,1,1
Resort Hotel,1,98,2016,August,32,4,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient,201.0,0,0
Resort Hotel,0,123,2016,February,9,27,1,1,2,0.0,0,FB,Groups,Direct,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,64.0,0,0
City Hotel,0,55,2017,July,30,24,1,1,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,154.0,0,0
City Hotel,0,30,2015,October,40,2,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,109.35,0,0
Resort Hotel,0,0,2017,June,23,6,0,1,2,0.0,0,BB,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,122.0,1,0
