hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,1,312,2015,August,35,25,0,4,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
Resort Hotel,0,160,2016,July,30,18,1,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Transient,102.8,0,0
City Hotel,1,267,2016,September,40,30,1,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,0,Transient,95.0,0,0
City Hotel,0,213,2017,August,35,28,1,3,1,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,1,No Deposit,19.0,,0,Transient-Party,104.0,0,0
City Hotel,0,2,2016,July,28,7,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1
City Hotel,1,21,2016,November,48,21,1,0,1,0.0,0,BB,Corporate,Corporate,1,1,1,A,A,0,No Deposit,,40.0,0,Transient,67.0,0,0
Resort Hotel,0,2,2016,November,48,26,1,1,1,0.0,0,BB,Direct,Direct,0,0,0,A,D,0,No Deposit,250.0,,0,Transient,38.0,0,0
Resort Hotel,0,15,2015,August,34,22,2,5,2,0.0,0,HB,Direct,Direct,0,0,0,F,G,1,No Deposit,,,0,Transient,258.43,1,0
Resort Hotel,0,6,2016,November,45,1,0,1,2,0.0,0,BB,Direct,Direct,0,0,0,A,A,0,No Deposit,,195.0,0,Transient,45.0,0,0
City Hotel,1,140,2015,December,53,29,0,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0,0
City Hotel,0,3,2016,February,10,29,1,2,1,0.0,0,BB,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,40.0,0,Transient,66.0,0,0
City Hotel,1,379,2015,October,44,31,1,1,1,0.0,0,BB,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0
City Hotel,1,398,2016,August,33,11,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
City Hotel,1,87,2017,April,15,15,2,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,95.0,0,0
City Hotel,1,391,2016,July,31,27,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0
City Hotel,0,256,2015,September,38,14,1,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,4.0,,0,Transient-Party,76.67,0,0
City Hotel,0,1,2015,August,35,28,0,1,1,0.0,0,BB,Corporate,Corporate,1,1,2,A,A,0,No Deposit,40.0,,0,Transient,65.0,0,0
City Hotel,1,100,2015,October,42,16,0,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient,108.0,0,0
City Hotel,1,341,2015,September,39,23,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0
Resort Hotel,0,0,2017,March,13,28,0,1,1,0.0,0,BB,Corporate,Corporate,1,0,4,A,D,0,No Deposit,,47.0,0,Transient,35.0,0,0
Resort Hotel,1,169,2016,March,14,31,1,3,2,0.0,0,BB,Groups,Direct,0,0,0,A,A,0,Refundable,,223.0,0,Transient-Party,66.0,0,0
