hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,0,4,2016,March,13,21,1,2,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,9.0,,0,Transient,128.0,0,1
City Hotel,0,13,2017,May,21,25,0,2,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1
City Hotel,0,183,2016,September,37,8,0,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,44.0,,0,Transient-Party,110.0,0,1
City Hotel,1,310,2017,August,32,8,0,4,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,139.5,0,2
City Hotel,0,335,2016,October,42,13,0,3,1,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,80.0,0,0
City Hotel,0,120,2017,April,17,23,2,1,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,89.1,0,0
City Hotel,0,21,2017,July,29,21,0,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,138.0,0,1
City Hotel,0,0,2016,August,33,7,1,0,2,0.0,0,SC,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,128.0,0,0
Resort Hotel,0,28,2016,February,7,10,2,6,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient,55.0,0,0
City Hotel,0,86,2015,September,39,24,0,2,1,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient-Party,87.5,0,1
City Hotel,0,110,2015,December,50,9,0,4,3,1.0,0,BB,Offline TA/TO,TA/TO,0,0,0,G,G,3,No Deposit,56.0,,69,Transient-Party,139.5,0,1
City Hotel,0,297,2016,May,20,14,1,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,236,Transient-Party,65.0,0,0
City Hotel,0,86,2015,September,39,24,0,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient-Party,105.0,0,0
City Hotel,0,109,2016,December,52,20,2,5,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,74.8,0,1
City Hotel,1,86,2015,September,37,9,0,2,2,0.0,0,BB,Groups,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,110.0,0,0
City Hotel,0,335,2016,October,42,13,0,3,1,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,0.0,0,0
City Hotel,0,309,2016,May,20,13,1,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,215,Transient-Party,65.0,0,0
City Hotel,0,66,2015,October,43,19,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,89.25,0,1
City Hotel,0,216,2017,July,26,1,2,5,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.6,0,2
City Hotel,1,179,2016,September,40,30,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,113.4,0,0
Resort Hotel,0,107,2015,August,32,5,0,3,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,166.0,0,1
City Hotel,0,21,2016,January,2,4,1,5,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,92.0,0,0
Resort Hotel,0,68,2016,December,53,29,4,10,2,0.0,0,Undefined,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,464.0,,0,Transient,80.14,0,1
City Hotel,0,14,2016,March,11,9,0,1,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,86.0,0,1
City Hotel,0,64,2017,March,13,30,1,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0
City Hotel,0,118,2017,May,20,20,1,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,0
City Hotel,1,93,2016,August,35,22,1,3,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.3,0,0
City Hotel,0,24,2016,November,47,13,1,0,2,0.0,0,BB,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,9.0,,0,Transient,114.0,0,1
City Hotel,0,7,2016,February,8,15,1,4,3,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,115.0,0,1
City Hotel,0,230,2016,September,37,6,0,5,1,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,44.0,,0,Transient-Party,111.0,0,0
City Hotel,0,29,2017,April,17,28,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,143.5,0,1
City Hotel,0,11,2016,April,18,24,2,0,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,1,1
City Hotel,1,122,2016,July,31,27,0,1,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.5,0,0
City Hotel,0,64,2017,April,14,3,1,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,162.0,0,1
City Hotel,0,215,2016,July,29,12,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient-Party,91.13,1,1
City Hotel,0,145,2016,August,34,15,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient,115.32,1,0
City Hotel,0,36,2017,August,33,19,0,1,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,200.0,0,2
City Hotel,0,282,2016,June,24,9,0,3,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,48,Transient-Party,73.33,0,1
City Hotel,0,26,2017,June,26,26,1,1,3,0.0,0,BB,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8.0,,0,Transient,269.5,0,1
City Hotel,0,101,2017,June,25,22,0,3,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,0
Resort Hotel,0,17,2017,February,8,20,1,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,242.0,,0,Transient,104.8,0,1
Resort Hotel,0,41,2017,February,7,18,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient-Party,48.0,0,0
