hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,1,139,2017,April,17,23,2,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,0
Resort Hotel,0,18,2016,October,42,11,0,1,2,0.0,0,BB,Direct,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient,66.0,0,1
City Hotel,1,244,2016,October,45,30,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.85,0,0
Resort Hotel,0,15,2015,November,49,29,2,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,48.4,0,1
City Hotel,1,150,2017,July,27,5,0,4,1,0.0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,143.1,0,0
Resort Hotel,0,296,2016,September,39,24,4,8,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,48.75,0,1
City Hotel,0,62,2017,July,28,9,2,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,80.1,0,0
City Hotel,0,0,2017,May,20,15,1,0,1,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,152.0,,0,Transient,88.56,0,0
City Hotel,1,200,2016,July,29,15,3,7,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,1
Resort Hotel,1,41,2016,August,35,27,2,1,3,1.0,0,HB,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,322.0,0,0
Resort Hotel,0,3,2015,November,47,16,1,3,1,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,38.0,0,0
Resort Hotel,0,155,2016,June,24,9,4,10,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,64.76,0,1
Resort Hotel,1,44,2016,November,45,5,2,5,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,73.8,0,0
Resort Hotel,1,287,2015,October,42,15,1,3,2,0.0,0,BB,Groups,Corporate,0,1,0,A,I,1,No Deposit,,223.0,0,Transient-Party,44.5,0,0
Resort Hotel,0,98,2016,May,19,2,1,4,1,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,40.0,,0,Contract,33.45,0,1
City Hotel,1,34,2017,February,7,13,1,1,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1
City Hotel,1,53,2016,September,38,11,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,149.4,0,0
Resort Hotel,0,386,2016,October,43,20,1,3,2,0.0,0,BB,Groups,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,49.0,0,0
City Hotel,0,214,2017,June,23,9,1,2,2,0.0,0,BB,Groups,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,118.13,0,0
City Hotel,0,39,2017,June,25,23,0,2,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,128.0,0,1
Resort Hotel,0,56,2015,November,46,11,0,4,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,53.0,0,1
