hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,0,18,2016,February,8,14,1,0,2,0.0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,78.0,0,2
Resort Hotel,0,130,2017,April,15,15,2,4,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,1,No Deposit,493.0,,0,Contract,87.0,1,0
City Hotel,0,256,2016,June,25,15,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,0
Resort Hotel,0,26,2017,April,14,4,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,105.0,0,2
City Hotel,0,377,2016,October,42,14,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1
City Hotel,0,46,2016,March,11,11,1,2,2,0.0,0,BB,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient-Party,90.0,0,0
City Hotel,0,191,2017,August,33,15,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,132.5,0,0
Resort Hotel,0,33,2017,May,21,23,0,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,122.0,0,1
City Hotel,0,24,2016,April,18,28,2,7,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16.0,,0,Transient,107.0,0,0
City Hotel,0,44,2016,October,43,18,0,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,133.44,0,3
City Hotel,0,159,2017,July,29,16,2,0,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,116.1,1,0
City Hotel,0,457,2017,August,34,25,0,2,1,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,6.0,,0,Transient-Party,95.5,0,1
City Hotel,0,396,2017,June,26,25,2,0,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,122.4,0,1
City Hotel,1,227,2017,August,34,26,2,5,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,0
Resort Hotel,0,45,2016,March,10,1,0,5,2,0.0,0,HB,Groups,Direct,0,0,0,E,G,1,No Deposit,,,0,Transient,106.0,0,1
City Hotel,0,92,2016,March,10,5,2,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,27.0,,0,Transient,52.0,0,0
City Hotel,0,62,2016,September,39,24,2,4,2,2.0,0,BB,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,9.0,,0,Transient,207.9,0,1
City Hotel,1,203,2016,December,53,30,2,2,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,,0,Transient,120.7,0,0
City Hotel,0,304,2016,August,34,20,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,7.0,,0,Transient,65.6,0,1
Resort Hotel,0,219,2016,October,43,16,2,2,2,0.0,0,HB,Groups,Corporate,0,0,0,E,E,1,No Deposit,,,0,Transient-Party,40.5,0,0
City Hotel,0,182,2017,July,28,11,0,4,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,80.1,0,0
City Hotel,0,20,2016,January,2,4,1,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,48.33,0,0
City Hotel,0,24,2017,March,13,27,1,3,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,86.98,0,0
Resort Hotel,1,58,2016,November,45,1,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,37.8,0,1
Resort Hotel,0,213,2016,May,21,16,1,1,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0
City Hotel,0,119,2016,October,43,16,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.3,0,2
City Hotel,0,213,2016,December,51,17,0,1,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,67.5,0,0
City Hotel,0,71,2016,May,20,10,0,3,1,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,205.0,,0,Transient-Party,98.0,0,0
City Hotel,0,33,2017,June,25,19,1,3,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.0,0,1
Resort Hotel,0,0,2016,February,8,17,0,1,2,0.0,0,BB,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,43.0,0,0
City Hotel,1,307,2017,March,11,15,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,77.35,0,0
City Hotel,0,1,2017,June,25,24,0,1,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1
City Hotel,0,405,2017,July,27,4,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,114.4,0,0
City Hotel,0,125,2016,October,43,17,1,0,1,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.3,0,2
Resort Hotel,0,21,2015,September,39,23,0,1,2,0.0,0,HB,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,110.0,0,Transient-Party,108.85,0,0
City Hotel,0,21,2015,September,39,21,1,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,124.0,0,1
City Hotel,0,107,2016,October,41,3,1,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,80.75,0,0
City Hotel,0,38,2017,June,23,6,0,3,1,1.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,112.0,0,2
City Hotel,0,179,2016,September,39,24,2,1,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,126.9,0,2
City Hotel,0,172,2017,July,30,23,2,0,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,86.62,0,1
City Hotel,0,58,2017,March,11,17,2,2,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,2
City Hotel,0,86,2017,March,13,30,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,104.4,0,0
City Hotel,0,377,2016,October,42,14,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1
Resort Hotel,0,312,2017,March,10,5,2,5,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,56.0,0,0
Resort Hotel,0,0,2016,October,43,22,0,1,2,0.0,0,BB,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,90.0,0,0
City Hotel,0,2,2016,April,17,17,2,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,72.75,0,0
City Hotel,0,189,2016,October,43,19,2,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,72.76,0,0
City Hotel,0,38,2015,September,39,21,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,145.8,0,1
City Hotel,0,138,2017,May,21,27,2,3,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,90.09,0,1
City Hotel,0,191,2017,August,33,15,0,3,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,175.5,0,0
City Hotel,1,55,2017,March,9,2,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,0
City Hotel,0,10,2017,August,35,27,2,0,3,0.0,0,BB,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9.0,,0,Transient,214.5,0,1
City Hotel,0,67,2016,September,37,5,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,75.54,0,1
City Hotel,0,35,2016,October,41,3,1,3,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,158.4,0,2
City Hotel,0,364,2017,June,24,16,0,1,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,1,A,A,0,No Deposit,21.0,,0,Group,75.0,0,1
City Hotel,0,290,2016,October,44,24,1,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,90.95,0,2
City Hotel,0,11,2017,June,25,20,0,2,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,10.0,,0,Transient,95.0,0,0
City Hotel,0,276,2016,September,39,22,0,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,178,Transient-Party,116.33,0,0
City Hotel,0,39,2016,May,19,7,2,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0,0
City Hotel,0,52,2016,August,36,28,1,0,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,3
City Hotel,0,89,2016,March,13,25,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.3,0,1
City Hotel,0,54,2017,February,9,28,0,5,3,0.0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,116.96,0,1
City Hotel,0,68,2017,July,27,3,1,2,2,2.0,0,BB,Online TA,TA/TO,0,0,0,G,G,2,No Deposit,7.0,,0,Transient,211.08,0,1
City Hotel,0,3,2016,April,17,18,1,1,1,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,70.0,0,0
City Hotel,1,185,2016,December,51,16,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,103.5,0,0
City Hotel,0,303,2016,August,34,19,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,78.0,0,1
Resort Hotel,0,195,2016,August,35,21,2,5,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,75.0,,0,Contract,132.8,0,0
City Hotel,0,256,2016,June,25,15,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1
Resort Hotel,0,133,2017,March,11,14,0,5,2,0.0,0,HB,Direct,Direct,1,0,1,E,I,0,No Deposit,,,107,Transient-Party,80.0,0,1
City Hotel,0,144,2017,June,25,20,0,5,1,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,93.55,0,1
City Hotel,0,109,2017,July,28,9,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,1
City Hotel,0,82,2015,November,45,2,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,72.25,0,2
City Hotel,0,4,2017,April,14,3,1,3,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.0,0,1
City Hotel,0,457,2017,August,34,25,0,2,1,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,6.0,,0,Transient-Party,95.5,0,1
Resort Hotel,0,312,2017,March,10,5,2,5,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,56.0,0,0
City Hotel,1,126,2017,March,12,24,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,2
City Hotel,0,1,2015,August,32,6,2,3,1,0.0,0,BB,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,67.0,0,1
Resort Hotel,0,199,2016,May,19,2,1,1,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0
City Hotel,0,320,2016,August,34,18,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1
City Hotel,0,123,2015,August,33,9,2,4,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,27.0,,0,Transient,63.75,0,1
City Hotel,1,85,2016,April,16,13,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,0
Resort Hotel,0,132,2016,May,21,17,1,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,71.7,1,1
Resort Hotel,0,185,2016,April,17,18,1,1,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0
City Hotel,0,1,2017,January,1,6,0,1,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,152.0,,0,Transient,55.35,0,0
City Hotel,0,182,2016,October,43,16,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,70.44,0,2
City Hotel,0,303,2016,August,34,19,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,78.0,0,1
City Hotel,0,25,2017,January,2,11,1,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,63.82,0,1
Resort Hotel,0,53,2017,March,10,5,2,5,1,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,42.0,0,0
City Hotel,1,138,2017,June,26,27,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,0
City Hotel,0,98,2016,November,47,14,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,69.3,0,1
