hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,0,17,2017,May,18,5,1,2,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,0
City Hotel,0,77,2017,August,33,14,1,3,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,200.0,0,2
City Hotel,1,222,2016,August,34,14,4,10,2,2.0,0,BB,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,158.95,0,0
City Hotel,0,5,2015,December,51,19,2,1,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,80.0,0,0
City Hotel,0,40,2016,October,44,24,1,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,85.0,0,0
City Hotel,1,27,2017,June,23,6,0,1,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,1
City Hotel,0,86,2017,March,10,7,0,4,2,0.0,0,BB,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,97.2,0,0
City Hotel,0,8,2015,December,51,15,0,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient-Party,58.0,0,1
City Hotel,1,15,2016,July,28,8,1,2,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,145.0,0,1
City Hotel,1,17,2016,August,34,19,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,136.0,0,1
City Hotel,0,51,2016,November,47,16,0,4,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0
City Hotel,0,20,2017,May,18,4,0,1,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.0,0,1
City Hotel,0,148,2017,July,30,29,2,6,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.88,0,1
City Hotel,0,79,2016,July,31,24,2,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,120.6,0,3
City Hotel,0,28,2017,June,23,9,1,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,0,Transient,181.0,0,0
City Hotel,0,119,2016,July,30,23,2,1,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,9.0,,0,Transient,121.5,0,0
City Hotel,0,315,2017,July,28,11,0,5,0,2.0,0,BB,Online TA,TA/TO,0,0,0,B,A,0,No Deposit,9.0,,0,Transient,91.85,0,3
Resort Hotel,0,147,2016,April,15,8,2,6,1,0.0,0,HB,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient-Party,88.0,0,0
City Hotel,0,153,2016,July,30,23,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.45,0,1
City Hotel,1,115,2016,October,42,13,0,1,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0
City Hotel,0,35,2016,June,27,27,1,4,1,0.0,0,BB,Direct,Direct,0,0,0,E,E,1,No Deposit,14.0,,0,Transient,88.98,0,0
City Hotel,0,44,2016,September,37,10,2,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,149.4,0,2
City Hotel,0,1,2017,January,3,19,0,2,2,0.0,0,BB,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,88.2,0,1
City Hotel,0,0,2016,February,7,12,0,2,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,79.0,0,0
Resort Hotel,0,41,2015,October,43,18,4,6,2,1.0,0,BB,Direct,Direct,0,0,0,C,H,0,No Deposit,,,0,Transient-Party,66.0,0,1
City Hotel,1,72,2016,April,16,12,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,0
City Hotel,0,154,2016,July,28,7,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,120.7,0,1
City Hotel,0,48,2016,November,45,3,1,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,112.0,0,0
Resort Hotel,0,37,2017,April,14,4,0,2,3,1.0,0,BB,Direct,Direct,0,0,0,H,H,2,No Deposit,250.0,,0,Transient,147.0,1,0
City Hotel,0,50,2016,April,16,12,0,3,2,1.0,0,HB,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,164.25,0,2
City Hotel,0,45,2017,March,10,11,1,1,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,G,0,No Deposit,28.0,,0,Transient,75.0,0,0
Resort Hotel,0,326,2017,August,32,7,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,242.0,,0,Transient,197.6,0,2
