hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,1,106,2016,March,13,24,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,96.3,0,1
City Hotel,0,36,2015,August,32,7,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
City Hotel,1,107,2016,December,49,3,2,1,2,2.0,0,BB,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,156.6,0,1
City Hotel,0,3,2017,April,16,22,0,1,2,2.0,0,HB,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,336.0,1,1
Resort Hotel,0,6,2016,June,25,14,0,1,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,100.0,0,0
City Hotel,0,112,2016,August,33,8,1,4,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,146.7,0,1
Resort Hotel,1,39,2017,February,8,24,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,1
City Hotel,0,85,2017,July,29,20,0,2,2,0.0,0,HB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,178.0,0,2
City Hotel,1,41,2016,March,13,25,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,0
City Hotel,0,23,2015,December,49,4,2,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Contract,55.0,0,0
City Hotel,0,34,2017,January,3,18,0,1,1,0.0,0,BB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,19.0,,0,Transient-Party,75.0,0,0
Resort Hotel,1,164,2017,July,27,5,0,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,142.0,0,0
Resort Hotel,0,2,2015,August,34,16,1,0,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,241.0,,0,Transient,118.58,0,0
Resort Hotel,0,7,2016,January,1,2,2,1,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,94.0,1,1
Resort Hotel,0,24,2015,August,34,21,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,171.9,0,2
City Hotel,1,183,2017,July,29,18,0,2,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,0
City Hotel,0,30,2017,August,34,25,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,145.0,0,1
City Hotel,0,6,2015,August,34,18,0,3,2,0.0,0,BB,Direct,Direct,0,0,0,A,E,0,No Deposit,14.0,,0,Transient,75.0,0,2
Resort Hotel,1,97,2017,August,33,15,2,6,2,0.0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,270.0,0,0
City Hotel,0,7,2017,February,7,15,0,1,1,0.0,0,BB,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,123.0,0,0
