hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,0,76,2016,October,43,22,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,116.36,0,1
City Hotel,0,96,2017,August,34,20,2,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,80.1,0,1
City Hotel,1,77,2017,February,6,5,2,0,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,0
City Hotel,1,285,2017,July,28,15,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1
City Hotel,0,64,2016,October,43,19,1,4,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,22.0,,0,Transient,96.3,0,0
City Hotel,0,200,2017,July,29,21,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,122.7,0,3
City Hotel,0,124,2016,November,45,2,0,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,137.7,0,1
Resort Hotel,0,211,2016,May,20,14,1,1,1,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,1,No Deposit,298.0,,0,Transient-Party,54.5,0,0
City Hotel,0,27,2017,August,35,31,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,152.67,0,1
Resort Hotel,0,139,2015,October,41,7,4,10,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,D,D,5,No Deposit,314.0,,0,Transient,80.23,0,0
City Hotel,0,75,2016,April,18,26,0,4,2,0.0,0,BB,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,105.83,0,0
City Hotel,0,292,2016,July,30,21,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,0
City Hotel,0,104,2017,April,15,14,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,143.1,0,1
City Hotel,0,352,2017,June,23,4,2,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,83.75,0,1
City Hotel,0,57,2016,April,17,21,0,3,3,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,137.7,0,2
City Hotel,0,65,2017,June,26,27,0,3,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.0,0,1
Resort Hotel,0,204,2017,June,24,13,0,3,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,167.0,1,2
City Hotel,0,73,2016,October,44,28,0,1,1,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,21.0,,0,Transient-Party,62.5,0,0
City Hotel,0,102,2015,October,42,16,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0
Resort Hotel,0,171,2016,April,15,4,1,1,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,0,Non Refund,298.0,,0,Transient-Party,85.0,0,0
City Hotel,0,102,2015,October,42,16,0,2,1,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,87.0,0,0
Resort Hotel,0,31,2017,April,17,23,2,4,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,93.0,0,0
City Hotel,1,15,2017,February,9,27,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.8,0,0
Resort Hotel,0,169,2017,June,24,15,0,1,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient,80.0,0,0
City Hotel,1,129,2017,May,21,22,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0
Resort Hotel,0,190,2016,March,11,8,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,41.4,1,2
City Hotel,0,212,2016,May,21,20,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,78.0,0,1
City Hotel,1,67,2016,October,43,17,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.3,0,0
