hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,1,200,2016,September,39,20,1,5,3,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,150.45,0,0
Resort Hotel,0,277,2015,October,41,6,2,5,2,0.0,0,HB,Groups,Direct,0,0,0,D,E,0,No Deposit,273.0,,0,Transient-Party,68.74,0,0
City Hotel,0,71,2016,August,35,26,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,131.4,0,1
City Hotel,1,142,2017,June,23,9,1,2,2,0.0,0,SC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.33,0,0
City Hotel,0,38,2016,May,21,21,1,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,,0,Transient,140.4,0,1
Resort Hotel,1,222,2017,August,35,28,1,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,206.0,0,1
City Hotel,0,35,2017,March,13,28,0,4,2,2.0,0,BB,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,208.0,0,0
Resort Hotel,0,283,2015,October,42,12,2,5,1,0.0,0,BB,Groups,Direct,0,0,0,A,A,0,No Deposit,273.0,,0,Transient-Party,41.98,0,0
City Hotel,0,95,2016,November,47,18,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.0,0,1
Resort Hotel,0,102,2017,August,31,2,2,5,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,148.5,0,0
Resort Hotel,0,152,2017,April,14,5,1,4,1,0.0,0,BB,Groups,TA/TO,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,42.0,0,0
